Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US130670308001,130670308001,"Block Group 1, Census Tract 308, Cobb County, Georgia",1187,402,865,357,133,85,0,13,37,65,5,8,126,194,21,32,0,13,21,32
1500000US130670308002,130670308002,"Block Group 2, Census Tract 308, Cobb County, Georgia",3013,593,1764,515,710,225,0,13,124,57,0,13,325,307,90,136,0,13,90,136
1500000US130670308003,130670308003,"Block Group 3, Census Tract 308, Cobb County, Georgia",1113,293,777,248,283,161,0,13,5,9,0,13,48,75,0,13,0,13,0,13
1500000US130670309011,130670309011,"Block Group 1, Census Tract 309.01, Cobb County, Georgia",589,220,589,220,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670309012,130670309012,"Block Group 2, Census Tract 309.01, Cobb County, Georgia",1134,288,893,282,134,140,0,13,0,13,0,13,0,13,107,125,46,74,61,98
1500000US130670309013,130670309013,"Block Group 3, Census Tract 309.01, Cobb County, Georgia",1759,952,338,163,1310,933,0,13,0,13,0,13,0,13,111,85,0,13,111,85
1500000US130670309014,130670309014,"Block Group 4, Census Tract 309.01, Cobb County, Georgia",1229,269,1143,264,75,95,0,13,11,17,0,13,0,13,0,13,0,13,0,13
1500000US130670309015,130670309015,"Block Group 5, Census Tract 309.01, Cobb County, Georgia",2747,543,1724,386,860,461,0,13,0,13,0,13,94,183,69,117,0,13,69,117
1500000US130670309021,130670309021,"Block Group 1, Census Tract 309.02, Cobb County, Georgia",1304,509,988,517,232,138,0,13,0,13,0,13,84,138,0,13,0,13,0,13
1500000US130670309022,130670309022,"Block Group 2, Census Tract 309.02, Cobb County, Georgia",2287,404,889,326,555,312,0,13,110,125,0,13,630,285,103,179,0,13,103,179
1500000US130670309023,130670309023,"Block Group 3, Census Tract 309.02, Cobb County, Georgia",1354,421,1183,278,171,297,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670309024,130670309024,"Block Group 4, Census Tract 309.02, Cobb County, Georgia",840,348,636,326,85,82,0,13,0,13,0,13,77,124,42,48,0,13,42,48
1500000US130670309041,130670309041,"Block Group 1, Census Tract 309.04, Cobb County, Georgia",1529,709,960,602,338,306,0,13,0,13,0,13,231,243,0,13,0,13,0,13
1500000US130670309042,130670309042,"Block Group 2, Census Tract 309.04, Cobb County, Georgia",1723,436,497,207,950,376,6,31,257,241,0,13,0,13,13,20,0,13,13,20
1500000US130670309043,130670309043,"Block Group 3, Census Tract 309.04, Cobb County, Georgia",1679,543,773,466,669,297,0,13,18,27,0,13,121,183,98,106,0,13,98,106
1500000US130670309044,130670309044,"Block Group 4, Census Tract 309.04, Cobb County, Georgia",1615,528,266,128,911,397,0,13,0,13,0,13,369,419,69,115,0,13,69,115
1500000US130670309051,130670309051,"Block Group 1, Census Tract 309.05, Cobb County, Georgia",2934,519,1165,310,1507,249,0,13,66,71,0,13,167,75,29,31,9,18,20,25
1500000US130670309052,130670309052,"Block Group 2, Census Tract 309.05, Cobb County, Georgia",833,375,344,113,320,301,0,13,0,13,0,13,149,233,20,33,0,13,20,33
1500000US130670309053,130670309053,"Block Group 3, Census Tract 309.05, Cobb County, Georgia",3511,650,914,359,1436,378,7,12,47,58,0,13,790,402,317,226,157,202,160,119
1500000US130670309054,130670309054,"Block Group 4, Census Tract 309.05, Cobb County, Georgia",930,343,378,123,195,164,0,13,72,77,0,13,247,274,38,33,0,13,38,33
1500000US130670310011,130670310011,"Block Group 1, Census Tract 310.01, Cobb County, Georgia",1634,537,846,476,348,185,0,13,0,13,0,13,419,287,21,28,0,13,21,28
1500000US130670310012,130670310012,"Block Group 2, Census Tract 310.01, Cobb County, Georgia",946,303,518,241,230,142,0,13,0,13,0,13,180,200,18,30,0,13,18,30
1500000US130670310013,130670310013,"Block Group 3, Census Tract 310.01, Cobb County, Georgia",2987,591,1244,378,931,352,0,13,0,13,0,13,751,454,61,88,0,13,61,88
1500000US130670310021,130670310021,"Block Group 1, Census Tract 310.02, Cobb County, Georgia",3679,800,1181,486,1010,440,0,13,29,46,0,13,1408,822,51,68,0,13,51,68
1500000US130670310022,130670310022,"Block Group 2, Census Tract 310.02, Cobb County, Georgia",1848,714,972,637,375,278,0,13,0,13,0,13,486,550,15,25,0,13,15,25
1500000US130670310023,130670310023,"Block Group 3, Census Tract 310.02, Cobb County, Georgia",1960,634,672,277,632,383,0,13,38,63,0,13,589,429,29,34,13,21,16,27
1500000US130670310024,130670310024,"Block Group 4, Census Tract 310.02, Cobb County, Georgia",2227,602,579,344,1128,373,0,13,181,194,0,13,339,353,0,13,0,13,0,13
1500000US130670310041,130670310041,"Block Group 1, Census Tract 310.04, Cobb County, Georgia",2770,637,1632,382,509,377,0,13,0,13,0,13,573,328,56,70,19,28,37,64
1500000US130670310042,130670310042,"Block Group 2, Census Tract 310.04, Cobb County, Georgia",1088,416,574,308,416,288,0,13,66,105,0,13,0,13,32,40,0,13,32,40
1500000US130670310043,130670310043,"Block Group 3, Census Tract 310.04, Cobb County, Georgia",2414,567,770,332,1030,362,0,13,24,37,0,13,539,395,51,70,0,13,51,70
1500000US130670310044,130670310044,"Block Group 4, Census Tract 310.04, Cobb County, Georgia",1269,387,331,176,924,360,0,13,0,13,14,22,0,13,0,13,0,13,0,13
1500000US130670310051,130670310051,"Block Group 1, Census Tract 310.05, Cobb County, Georgia",2988,531,1120,398,1185,302,0,13,219,176,0,13,207,169,257,240,62,78,195,238
1500000US130670310052,130670310052,"Block Group 2, Census Tract 310.05, Cobb County, Georgia",2558,472,1583,485,545,264,19,47,89,88,0,13,321,191,1,3,0,13,1,3
1500000US130670311011,130670311011,"Block Group 1, Census Tract 311.01, Cobb County, Georgia",2153,498,877,272,637,310,10,15,35,52,0,13,555,427,39,51,0,13,39,51
1500000US130670311012,130670311012,"Block Group 2, Census Tract 311.01, Cobb County, Georgia",1322,418,746,300,273,237,0,13,59,92,0,13,244,245,0,13,0,13,0,13
1500000US130670311013,130670311013,"Block Group 3, Census Tract 311.01, Cobb County, Georgia",1236,303,649,184,383,219,0,13,0,13,0,13,194,172,10,17,0,13,10,17
1500000US130670311061,130670311061,"Block Group 1, Census Tract 311.06, Cobb County, Georgia",1400,698,679,270,714,669,0,13,7,18,0,13,0,13,0,13,0,13,0,13
1500000US130670311062,130670311062,"Block Group 2, Census Tract 311.06, Cobb County, Georgia",2744,773,1658,486,817,574,0,13,116,148,0,13,153,157,0,13,0,13,0,13
1500000US130670311063,130670311063,"Block Group 3, Census Tract 311.06, Cobb County, Georgia",1841,389,680,212,873,362,0,13,206,157,0,13,8,13,74,91,0,13,74,91
1500000US130670311064,130670311064,"Block Group 4, Census Tract 311.06, Cobb County, Georgia",2923,922,1187,461,1154,592,0,13,29,69,8,15,526,450,19,29,0,13,19,29
1500000US130670311081,130670311081,"Block Group 1, Census Tract 311.08, Cobb County, Georgia",591,396,314,201,252,306,0,13,0,13,0,13,0,13,25,32,0,13,25,32
1500000US130670311082,130670311082,"Block Group 2, Census Tract 311.08, Cobb County, Georgia",539,201,453,141,86,144,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670311083,130670311083,"Block Group 3, Census Tract 311.08, Cobb County, Georgia",2725,634,1006,289,1438,527,0,13,105,99,0,13,152,189,24,41,0,13,24,41
1500000US130670311084,130670311084,"Block Group 4, Census Tract 311.08, Cobb County, Georgia",1452,434,678,322,732,354,0,13,35,56,0,13,0,13,7,13,0,13,7,13
1500000US130670311101,130670311101,"Block Group 1, Census Tract 311.10, Cobb County, Georgia",2521,398,1419,437,708,329,0,13,64,62,0,13,251,254,79,63,0,13,79,63
1500000US130670311102,130670311102,"Block Group 2, Census Tract 311.10, Cobb County, Georgia",1017,197,899,199,15,27,0,13,21,24,0,13,13,23,69,81,0,13,69,81
1500000US130670311111,130670311111,"Block Group 1, Census Tract 311.11, Cobb County, Georgia",1976,268,1291,185,549,223,0,13,75,53,0,13,10,16,51,49,0,13,51,49
1500000US130670311112,130670311112,"Block Group 2, Census Tract 311.11, Cobb County, Georgia",1462,330,585,141,590,269,0,13,108,94,0,13,112,152,67,49,0,13,67,49
1500000US130670311121,130670311121,"Block Group 1, Census Tract 311.12, Cobb County, Georgia",711,215,660,215,0,13,0,13,8,12,0,13,0,13,43,41,0,13,43,41
1500000US130670311122,130670311122,"Block Group 2, Census Tract 311.12, Cobb County, Georgia",1952,432,703,220,896,307,0,13,132,157,0,13,221,293,0,13,0,13,0,13
1500000US130670311123,130670311123,"Block Group 3, Census Tract 311.12, Cobb County, Georgia",2662,440,1736,322,480,304,0,13,304,290,0,13,43,49,99,105,0,13,99,105
1500000US130670311131,130670311131,"Block Group 1, Census Tract 311.13, Cobb County, Georgia",942,164,321,107,452,115,0,13,19,23,7,14,77,84,66,65,0,13,66,65
1500000US130670311141,130670311141,"Block Group 1, Census Tract 311.14, Cobb County, Georgia",3471,799,1191,525,1447,525,0,13,116,121,86,87,538,486,93,135,93,135,0,13
1500000US130670311142,130670311142,"Block Group 2, Census Tract 311.14, Cobb County, Georgia",1893,427,812,245,578,282,0,13,451,309,0,13,22,36,30,48,30,48,0,13
1500000US130670311143,130670311143,"Block Group 3, Census Tract 311.14, Cobb County, Georgia",1560,341,722,230,646,277,0,13,113,129,0,13,60,92,19,28,0,13,19,28
1500000US130670311144,130670311144,"Block Group 4, Census Tract 311.14, Cobb County, Georgia",529,321,218,266,55,51,0,13,0,13,0,13,220,295,36,58,0,13,36,58
1500000US130670311151,130670311151,"Block Group 1, Census Tract 311.15, Cobb County, Georgia",2238,534,985,493,943,380,0,13,34,40,0,13,276,356,0,13,0,13,0,13
1500000US130670311152,130670311152,"Block Group 2, Census Tract 311.15, Cobb County, Georgia",2721,505,1254,310,864,478,0,13,168,96,0,13,394,442,41,44,0,13,41,44
1500000US130670311161,130670311161,"Block Group 1, Census Tract 311.16, Cobb County, Georgia",2319,757,1068,578,987,382,0,13,0,13,0,13,245,370,19,32,0,13,19,32
1500000US130670311162,130670311162,"Block Group 2, Census Tract 311.16, Cobb County, Georgia",1681,498,588,302,29,37,0,13,136,149,0,13,878,455,50,72,0,13,50,72
1500000US130670311163,130670311163,"Block Group 3, Census Tract 311.16, Cobb County, Georgia",169,149,90,154,79,130,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670311171,130670311171,"Block Group 1, Census Tract 311.17, Cobb County, Georgia",2685,490,1240,252,822,294,0,13,164,144,0,13,441,322,18,31,0,13,18,31
1500000US130670311172,130670311172,"Block Group 2, Census Tract 311.17, Cobb County, Georgia",1768,260,1711,249,36,41,0,13,21,26,0,13,0,13,0,13,0,13,0,13
1500000US130670311173,130670311173,"Block Group 3, Census Tract 311.17, Cobb County, Georgia",844,237,649,172,195,170,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670311181,130670311181,"Block Group 1, Census Tract 311.18, Cobb County, Georgia",1471,603,1077,513,274,296,0,13,30,49,0,13,19,33,71,94,23,39,48,83
1500000US130670311182,130670311182,"Block Group 2, Census Tract 311.18, Cobb County, Georgia",2204,524,1169,388,294,172,0,13,602,522,0,13,55,85,84,79,0,13,84,79
1500000US130670311183,130670311183,"Block Group 3, Census Tract 311.18, Cobb County, Georgia",2040,374,827,304,969,261,0,13,98,153,0,13,70,100,76,96,65,92,11,21
1500000US130670312051,130670312051,"Block Group 1, Census Tract 312.05, Cobb County, Georgia",1450,467,534,180,851,437,0,13,0,13,0,13,0,13,65,84,0,13,65,84
1500000US130670312052,130670312052,"Block Group 2, Census Tract 312.05, Cobb County, Georgia",2256,581,1829,537,218,149,0,13,209,181,0,13,0,13,0,13,0,13,0,13
1500000US130670312053,130670312053,"Block Group 3, Census Tract 312.05, Cobb County, Georgia",2103,600,1165,476,653,355,0,13,13,21,0,13,253,398,19,31,0,13,19,31
1500000US130670312061,130670312061,"Block Group 1, Census Tract 312.06, Cobb County, Georgia",5457,821,2839,561,1808,768,0,18,810,524,0,18,0,18,0,18,0,18,0,18
1500000US130670312062,130670312062,"Block Group 2, Census Tract 312.06, Cobb County, Georgia",602,499,21,37,581,515,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670312063,130670312063,"Block Group 3, Census Tract 312.06, Cobb County, Georgia",3971,811,2052,535,1470,676,0,13,208,215,0,13,0,13,241,239,0,13,241,239
1500000US130670312071,130670312071,"Block Group 1, Census Tract 312.07, Cobb County, Georgia",1033,383,699,277,40,46,0,13,282,207,0,13,0,13,12,21,0,13,12,21
1500000US130670312072,130670312072,"Block Group 2, Census Tract 312.07, Cobb County, Georgia",2058,492,967,260,400,220,0,13,587,437,0,13,0,13,104,107,0,13,104,107
1500000US130670312073,130670312073,"Block Group 3, Census Tract 312.07, Cobb County, Georgia",877,299,734,274,84,77,0,13,32,53,0,13,0,13,27,41,0,13,27,41
1500000US130670312081,130670312081,"Block Group 1, Census Tract 312.08, Cobb County, Georgia",556,158,374,142,182,139,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670312082,130670312082,"Block Group 2, Census Tract 312.08, Cobb County, Georgia",1953,415,786,236,252,166,0,13,915,385,0,13,0,13,0,13,0,13,0,13
1500000US130670312083,130670312083,"Block Group 3, Census Tract 312.08, Cobb County, Georgia",3833,548,1734,503,1046,371,0,13,993,405,15,26,45,65,0,13,0,13,0,13
1500000US130670312091,130670312091,"Block Group 1, Census Tract 312.09, Cobb County, Georgia",2794,275,1969,244,389,193,36,49,266,125,0,13,45,43,89,70,62,65,27,43
1500000US130670312092,130670312092,"Block Group 2, Census Tract 312.09, Cobb County, Georgia",1378,267,1256,264,36,53,0,13,54,66,0,13,0,13,32,34,17,25,15,24
1500000US130670312111,130670312111,"Block Group 1, Census Tract 312.11, Cobb County, Georgia",360,204,99,66,261,194,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670312112,130670312112,"Block Group 2, Census Tract 312.11, Cobb County, Georgia",3087,587,1229,384,1719,576,0,13,20,36,0,13,0,13,119,135,37,58,82,125
1500000US130670312113,130670312113,"Block Group 3, Census Tract 312.11, Cobb County, Georgia",525,318,320,275,64,75,0,13,122,188,0,13,0,13,19,31,0,13,19,31
1500000US130670312121,130670312121,"Block Group 1, Census Tract 312.12, Cobb County, Georgia",2476,296,2300,323,56,55,0,13,44,56,0,13,28,31,48,49,16,23,32,43
1500000US130670313061,130670313061,"Block Group 1, Census Tract 313.06, Cobb County, Georgia",2480,459,1249,313,995,379,0,13,9,13,0,13,15,33,212,146,0,13,212,146
1500000US130670313062,130670313062,"Block Group 2, Census Tract 313.06, Cobb County, Georgia",1504,413,898,311,518,321,0,13,24,28,0,13,0,13,64,58,0,13,64,58
1500000US130670313071,130670313071,"Block Group 1, Census Tract 313.07, Cobb County, Georgia",925,305,753,284,160,145,0,13,0,13,0,13,0,13,12,22,0,13,12,22
1500000US130670313072,130670313072,"Block Group 2, Census Tract 313.07, Cobb County, Georgia",2368,438,1554,426,541,408,0,13,16,23,0,13,170,236,87,116,0,13,87,116
1500000US130670313073,130670313073,"Block Group 3, Census Tract 313.07, Cobb County, Georgia",2311,561,1322,378,869,441,0,13,35,55,0,13,0,13,85,129,0,13,85,129
1500000US130670313081,130670313081,"Block Group 1, Census Tract 313.08, Cobb County, Georgia",924,272,669,270,190,125,0,13,9,14,0,13,56,90,0,13,0,13,0,13
1500000US130670313082,130670313082,"Block Group 2, Census Tract 313.08, Cobb County, Georgia",2190,615,910,432,1013,497,0,13,25,35,0,13,242,272,0,13,0,13,0,13
1500000US130670313083,130670313083,"Block Group 3, Census Tract 313.08, Cobb County, Georgia",2403,493,698,318,1441,402,0,13,13,20,0,13,234,229,17,29,17,29,0,13
1500000US130670313091,130670313091,"Block Group 1, Census Tract 313.09, Cobb County, Georgia",1516,603,869,639,441,358,19,30,12,21,0,13,175,242,0,13,0,13,0,13
1500000US130670313092,130670313092,"Block Group 2, Census Tract 313.09, Cobb County, Georgia",1869,598,788,271,1025,572,0,13,0,13,0,13,0,13,56,75,0,13,56,75
1500000US130670313093,130670313093,"Block Group 3, Census Tract 313.09, Cobb County, Georgia",2941,678,1596,616,1127,535,0,13,0,13,0,13,135,126,83,119,10,20,73,118
1500000US130670313094,130670313094,"Block Group 4, Census Tract 313.09, Cobb County, Georgia",2030,480,108,80,1838,509,0,13,0,13,0,13,38,63,46,53,0,13,46,53
1500000US130670313101,130670313101,"Block Group 1, Census Tract 313.10, Cobb County, Georgia",1698,372,11,5,1664,368,0,13,0,13,0,13,23,39,0,13,0,13,0,13
1500000US130670313102,130670313102,"Block Group 2, Census Tract 313.10, Cobb County, Georgia",3504,589,1272,556,1320,530,0,13,0,13,0,13,842,475,70,67,0,13,70,67
1500000US130670313103,130670313103,"Block Group 3, Census Tract 313.10, Cobb County, Georgia",2440,608,454,390,1880,495,35,50,0,13,0,13,0,13,71,115,0,13,71,115
1500000US130670313111,130670313111,"Block Group 1, Census Tract 313.11, Cobb County, Georgia",3783,629,899,533,2447,485,0,13,0,13,0,13,201,202,236,160,106,120,130,118
1500000US130670313112,130670313112,"Block Group 2, Census Tract 313.11, Cobb County, Georgia",2733,640,645,386,1995,568,0,13,0,13,0,13,0,13,93,143,38,61,55,82
1500000US130670313113,130670313113,"Block Group 3, Census Tract 313.11, Cobb County, Georgia",2887,515,778,367,2032,500,0,13,34,55,0,13,0,13,43,70,14,22,29,48
1500000US130670313121,130670313121,"Block Group 1, Census Tract 313.12, Cobb County, Georgia",1343,670,394,334,875,526,0,13,57,98,0,13,0,13,17,31,0,13,17,31
1500000US130670313122,130670313122,"Block Group 2, Census Tract 313.12, Cobb County, Georgia",563,256,395,237,168,174,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130670313123,130670313123,"Block Group 3, Census Tract 313.12, Cobb County, Georgia",4775,796,1675,560,2692,691,0,13,89,74,0,13,242,232,77,60,0,13,77,60
1500000US130670313124,130670313124,"Block Group 4, Census Tract 313.12, Cobb County, Georgia",2872,628,1366,536,1345,679,0,13,29,49,0,13,0,13,132,121,51,76,81,95
1500000US130670313131,130670313131,"Block Group 1, Census Tract 313.13, Cobb County, Georgia",7154,796,4404,652,1858,713,0,18,546,365,0,18,258,307,88,79,18,30,70,74
1500000US130670313132,130670313132,"Block Group 2, Census Tract 313.13, Cobb County, Georgia",3176,613,1044,371,1845,554,0,13,148,161,0,13,0,13,139,124,0,13,139,124
1500000US130670314041,130670314041,"Block Group 1, Census Tract 314.04, Cobb County, Georgia",1019,415,530,232,452,407,0,13,27,48,0,13,0,13,10,20,0,13,10,20
1500000US130670314042,130670314042,"Block Group 2, Census Tract 314.04, Cobb County, Georgia",2996,554,1453,430,1364,425,0,13,0,13,0,13,109,85,70,88,0,13,70,88
1500000US130670314043,130670314043,"Block Group 3, Census Tract 314.04, Cobb County, Georgia",1284,422,780,264,471,352,0,13,33,51,0,13,0,13,0,13,0,13,0,13
1500000US130670314044,130670314044,"Block Group 4, Census Tract 314.04, Cobb County, Georgia",458,235,139,86,306,236,0,13,0,13,0,13,0,13,13,24,0,13,13,24
1500000US130670314051,130670314051,"Block Group 1, Census Tract 314.05, Cobb County, Georgia",1690,666,648,254,682,406,0,13,0,13,0,13,360,473,0,13,0,13,0,13
1500000US130670314052,130670314052,"Block Group 2, Census Tract 314.05, Cobb County, Georgia",2892,592,1303,414,1468,523,0,13,104,174,0,13,0,13,17,26,0,13,17,26
1500000US130670314053,130670314053,"Block Group 3, Census Tract 314.05, Cobb County, Georgia",1181,508,558,327,371,357,0,13,0,13,0,13,252,318,0,13,0,13,0,13
1500000US130670314054,130670314054,"Block Group 4, Census Tract 314.05, Cobb County, Georgia",1517,467,686,355,766,349,0,13,0,13,0,13,0,13,65,93,0,13,65,93
1500000US130670314055,130670314055,"Block Group 5, Census Tract 314.05, Cobb County, Georgia",1123,448,282,200,760,412,0,13,0,13,0,13,81,103,0,13,0,13,0,13
1500000US130670314061,130670314061,"Block Group 1, Census Tract 314.06, Cobb County, Georgia",1025,395,200,193,780,349,0,13,0,13,0,13,26,48,19,29,0,13,19,29
1500000US130670314062,130670314062,"Block Group 2, Census Tract 314.06, Cobb County, Georgia",3000,675,1455,540,1429,500,0,13,0,13,0,13,63,107,53,85,0,13,53,85
1500000US130670314063,130670314063,"Block Group 3, Census Tract 314.06, Cobb County, Georgia",3561,744,1146,552,2357,568,0,13,40,59,1,3,0,13,17,27,0,13,17,27
1500000US130670314081,130670314081,"Block Group 1, Census Tract 314.08, Cobb County, Georgia",838,498,239,124,482,494,0,13,0,13,0,13,107,172,10,17,10,17,0,13
1500000US130670314082,130670314082,"Block Group 2, Census Tract 314.08, Cobb County, Georgia",3646,564,984,261,2491,564,0,13,97,129,0,13,13,21,61,73,36,59,25,44
1500000US130670314083,130670314083,"Block Group 3, Census Tract 314.08, Cobb County, Georgia",1156,310,492,181,625,262,0,13,0,13,0,13,0,13,39,62,0,13,39,62
1500000US130670314091,130670314091,"Block Group 1, Census Tract 314.09, Cobb County, Georgia",2805,425,1304,344,1352,335,0,13,21,46,0,13,0,13,128,101,0,13,128,101
1500000US130670314092,130670314092,"Block Group 2, Census Tract 314.09, Cobb County, Georgia",2175,422,835,241,1189,378,0,13,17,27,0,13,34,53,100,61,62,52,38,32
1500000US130670315031,130670315031,"Block Group 1, Census Tract 315.03, Cobb County, Georgia",1408,511,949,448,399,283,0,13,35,63,0,13,0,13,25,42,0,13,25,42
1500000US130670315032,130670315032,"Block Group 2, Census Tract 315.03, Cobb County, Georgia",3054,778,1134,579,1864,667,0,13,16,27,0,13,0,13,40,47,0,13,40,47
1500000US130670315033,130670315033,"Block Group 3, Census Tract 315.03, Cobb County, Georgia",3451,996,1409,687,1569,653,0,13,35,34,0,13,312,367,126,101,0,13,126,101
1500000US130670315034,130670315034,"Block Group 4, Census Tract 315.03, Cobb County, Georgia",2159,810,720,337,1029,797,0,13,174,202,0,13,222,301,14,25,0,13,14,25
1500000US130670315051,130670315051,"Block Group 1, Census Tract 315.05, Cobb County, Georgia",2454,534,978,264,1177,464,0,13,82,141,0,13,198,312,19,31,0,13,19,31
1500000US130670315052,130670315052,"Block Group 2, Census Tract 315.05, Cobb County, Georgia",1652,410,758,309,865,348,0,13,0,13,0,13,0,13,29,62,9,20,20,42
1500000US130670315053,130670315053,"Block Group 3, Census Tract 315.05, Cobb County, Georgia",1853,465,914,280,878,421,0,13,0,13,0,13,21,38,40,49,20,39,20,27
1500000US130670315061,130670315061,"Block Group 1, Census Tract 315.06, Cobb County, Georgia",2092,452,1149,327,664,341,0,13,122,114,0,13,150,194,7,12,0,13,7,12
1500000US130670315062,130670315062,"Block Group 2, Census Tract 315.06, Cobb County, Georgia",1885,379,908,315,825,281,0,13,29,30,19,32,26,43,78,124,0,13,78,124
1500000US130670315063,130670315063,"Block Group 3, Census Tract 315.06, Cobb County, Georgia",627,178,385,114,146,136,10,17,25,36,0,13,0,13,61,61,0,13,61,61
1500000US130670315071,130670315071,"Block Group 1, Census Tract 315.07, Cobb County, Georgia",2256,543,514,282,1576,387,0,13,0,13,0,13,162,172,4,7,0,13,4,7
1500000US130670315072,130670315072,"Block Group 2, Census Tract 315.07, Cobb County, Georgia",1474,502,553,264,910,377,0,13,0,13,0,13,0,13,11,18,0,13,11,18
1500000US130670315081,130670315081,"Block Group 1, Census Tract 315.08, Cobb County, Georgia",1651,422,766,278,700,240,0,13,90,93,0,13,0,13,95,106,0,13,95,106
1500000US130670315082,130670315082,"Block Group 2, Census Tract 315.08, Cobb County, Georgia",3422,730,1826,306,1045,282,0,13,0,13,0,13,429,657,122,86,40,65,82,67
1500000US130670315091,130670315091,"Block Group 1, Census Tract 315.09, Cobb County, Georgia",2363,630,1013,386,1308,552,0,13,0,13,0,13,42,71,0,13,0,13,0,13
1500000US130670315092,130670315092,"Block Group 2, Census Tract 315.09, Cobb County, Georgia",1958,618,459,215,1309,552,0,13,0,13,0,13,71,137,119,157,98,155,21,33
1500000US130670315093,130670315093,"Block Group 3, Census Tract 315.09, Cobb County, Georgia",1703,478,794,224,875,432,0,13,0,13,0,13,0,13,34,55,0,13,34,55
1500000US130670315094,130670315094,"Block Group 4, Census Tract 315.09, Cobb County, Georgia",2097,616,1011,493,790,394,0,13,187,194,0,13,0,13,109,125,109,125,0,13
1500000US130670315095,130670315095,"Block Group 5, Census Tract 315.09, Cobb County, Georgia",2018,495,797,268,1122,470,0,13,0,13,0,13,15,25,84,82,15,25,69,90
1500000US130690101001,130690101001,"Block Group 1, Census Tract 101, Coffee County, Georgia",811,243,794,243,17,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130690101002,130690101002,"Block Group 2, Census Tract 101, Coffee County, Georgia",708,185,601,154,74,66,0,13,13,20,0,13,17,21,3,5,0,13,3,5
1500000US130690101003,130690101003,"Block Group 3, Census Tract 101, Coffee County, Georgia",1917,312,1582,277,328,155,0,13,4,7,0,13,0,13,3,7,0,13,3,7
1500000US130690102001,130690102001,"Block Group 1, Census Tract 102, Coffee County, Georgia",1884,468,1793,472,25,43,0,13,0,13,0,13,66,98,0,13,0,13,0,13
1500000US130690102002,130690102002,"Block Group 2, Census Tract 102, Coffee County, Georgia",1033,288,872,218,27,43,0,13,0,13,0,13,134,207,0,13,0,13,0,13
1500000US130690103001,130690103001,"Block Group 1, Census Tract 103, Coffee County, Georgia",1624,373,1194,293,158,143,0,13,0,13,0,13,257,334,15,24,0,13,15,24
1500000US130690103002,130690103002,"Block Group 2, Census Tract 103, Coffee County, Georgia",4501,1412,2191,835,2271,655,0,13,14,20,0,13,25,26,0,13,0,13,0,13
1500000US130690104001,130690104001,"Block Group 1, Census Tract 104, Coffee County, Georgia",2172,577,1331,378,792,455,0,13,18,28,0,13,0,13,31,41,0,13,31,41
1500000US130690104002,130690104002,"Block Group 2, Census Tract 104, Coffee County, Georgia",386,247,250,188,136,124,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130690104003,130690104003,"Block Group 3, Census Tract 104, Coffee County, Georgia",706,253,642,249,30,54,0,13,0,13,0,13,34,42,0,13,0,13,0,13
1500000US130690104004,130690104004,"Block Group 4, Census Tract 104, Coffee County, Georgia",1134,386,906,386,167,150,44,73,0,13,0,13,0,13,17,34,0,13,17,34
1500000US130690105001,130690105001,"Block Group 1, Census Tract 105, Coffee County, Georgia",731,344,566,224,40,40,0,13,0,13,0,13,92,143,33,51,0,13,33,51
1500000US130690105002,130690105002,"Block Group 2, Census Tract 105, Coffee County, Georgia",691,251,565,230,111,121,15,30,0,13,0,13,0,13,0,13,0,13,0,13
1500000US130690105003,130690105003,"Block Group 3, Census Tract 105, Coffee County, Georgia",2063,529,1266,271,773,542,0,13,0,13,0,13,24,31,0,13,0,13,0,13
1500000US130690106001,130690106001,"Block Group 1, Census Tract 106, Coffee County, Georgia",2806,591,2588,543,161,186,0,13,0,13,0,13,57,58,0,13,0,13,0,13
1500000US130690106002,130690106002,"Block Group 2, Census Tract 106, Coffee County, Georgia",1371,577,1256,545,62,41,0,13,0,13,0,13,18,32,35,53,29,50,6,12
